Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,8.3783E-06,982.20,0,26.9, -,4.025671
0.05,8.399477,981.90,8,26.9, -,4.025671
0.10,16.80273,981.60,16,26.9, -,4.025671
0.15,25.20636,981.30,24,26.9, -,4.025671
0.20,30.8105,981.10,29.33333,26.9, -,4.025671
0.25,44.82405,980.60,42.66667,26.9, -,4.025671
0.30,50.42973,980.40,48,26.9, -,4.025671
0.35,58.84339,980.10,56,26.9, -,4.025671
0.40,67.25743,979.80,64,26.9, -,4.025671
0.45,78.47883,979.40,74.66666,26.9, -,4.025671
0.50,86.89945,979.10,82.66666,26.9, -,4.025671
0.55,95.32045,978.80,90.66666,26.9, -,4.025671
0.60,100.9362,978.60,96,26.9, -,4.025671
0.65,114.9787,978.10,109.381,26.9, -,4.025671
0.70,120.596,977.90,114.7143,26.9, -,4.025671
0.75,129.0271,977.60,122.7619,26.9, -,4.025671
0.80,137.4585,977.30,130.8095,26.9, -,4.025671
0.85,151.5162,976.80,144.1905,26.9, -,4.025671
0.90,162.7655,976.40,154.9048,26.9, -,4.025671
0.95,174.0202,976.00,165.619,26.9, -,4.025671
1.00,182.4629,975.70,173.6667,26.9, -,4.025671
1.05,196.5392,975.20,187.0952,26.9, -,4.025671
1.10,207.8052,974.80,189.8095,26.9, -,4.025671
1.15,219.0732,974.40,192.5238,26.9, -,4.025671
1.20,233.1647,973.90,197.9524,26.9, -,4.025671
1.25,247.2621,973.40,206.0476,26.9, -,4.025671
1.30,261.3654,972.90,206.1429,26.9, -,4.025671
1.35,275.4745,972.40,214.2381,26.9, -,4.025671
1.40,289.5895,971.90,219.6667,26.9, -,4.025671
1.45,303.7104,971.40,225.0952,26.9, -,4.025671
1.50,315.0121,971.00,225.1905,26.9, -,4.025671
1.55,329.1436,970.50,230.6667,26.9, -,4.025671
1.60,340.4537,970.10,233.4286,26.9, -,4.025671
1.65,354.5958,969.60,241.5714,26.9, -,4.025671
1.70,368.7438,969.10,241.6667,26.9, -,4.025671
1.75,382.8978,968.60,249.8095,26.9, -,4.025671
1.80,397.0576,968.10,255.2381,26.9, -,4.025671
1.85,414.0565,967.50,263.381,26.9, -,4.025671
1.90,428.2294,967.00,263.4762,26.9, -,4.025671
1.95,445.244,966.40,268.9524,26.9, -,4.025671
2.00,465.1064,965.70,277.1429,26.9, -,4.025671
2.05,482.1412,965.10,285.3333,26.9, -,4.025671
2.10,499.183,964.50,288.1429,26.9, -,4.025671
2.15,516.2333,963.90,293.6667,26.9, -,4.025671
2.20,530.449,963.40,296.4762,26.9, -,4.025671
2.25,550.3615,962.70,302,26.9, -,4.025671
2.30,564.5916,962.20,302.1429,26.9, -,4.025671
